,Keywords,confidence,Date Start,Description of measure implemented,Implementing State/Province,Country,Source
1401,international travel ban - risk countries,,2020-03-18,"Non-Sarawakian from Peninsular Malaysia, Sabah or foreign citizens are not allowed to enter Sarawak from 18 - 31 March 2020, unless they are employed in the essential services sector - they can enter but are subject to the 14 days self isolation rule",East Malaysia: Sarawak,Malaysia,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening"
1403,international travel ban - risk countries,,2020-03-18,"Sabahan IC holders (with “H” or 12, 47, 48, 49” birth place indicator) are not allowed to fly to Peninsular Malaysia, unless their presence is strictly required for an essential service.
Immigration Sabah will verify the importance of the Sabahan to be in Peninsular Malaysia for work.",Sabah,Malaysia,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening"
1404,blanket curfew - no symptoms,,2020-03-24,"All markets, supermarkets, coffee shops and restaurants in Sarawak can only open from 7am to 7pm starting Tuesday (March 24), says the state disaster management committee. Supermarkets, hypermarkets, markets, pharmacies and private clinics were now required to practise social distancing in their premises. ""The police will check the implementation randomly,""",Sarawak,Malaysia,"The Star (Media, https://www.thestar.com.my/news/nation/2020/03/22/covid-19-sarawak-limits-all-business-operation-hours-from-7am-7pm"
1405,risk communication,,2020-03-24,business owners are advised to do temperature checks on their customers and provide hand sanitisers.,Sarawak,Malaysia,"The Star (Media, https://www.thestar.com.my/news/nation/2020/03/22/covid-19-sarawak-limits-all-business-operation-hours-from-7am-7pm"
1407,international travel ban - risk countries,,2020-03-15,"People coming from France, Spain, Italy prevented entry",,Maldives,"Ministry of Foreign Affairs - France (Government, https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/maldives/"
1409,international travel ban - risk countries,,2020-03-16,Cruises not alloved to dock in ports,,Maldives,"Ministry of Foreign Affairs - UK (Government, https://www.gov.uk/foreign-travel-advice/maldives"
1411,"domestic travel limitation, domestic traveller quarantine, domestic travel ban",,2020-03-16,Internal from resorts and inhabited islands,,Maldives,"Ministry of Foreign Affairs - UK (Government, https://www.gov.uk/foreign-travel-advice/maldives"
1412,international travel ban - risk countries,,2020-03-21,"All passengers and crew with travel history to the following countries or regions within the last 14 days will not be allowed to enter or transit through the Maldives: China, Iran, South Korea, Italy, Bangladesh, Spain,  France, Germany, Malaysia, UK, Sri Lanka.",,Maldives,"Ministry of Foreign Affairs (Government, https://www.foreign.gov.mv/index.php/en/covid-19"
1413,international travel ban - risk countries,,2020-03-14,Movement of people between inhabited islands and resorts is suspended for the next 14 days.,,Maldives,"Director General of Public Health (Government, https://www.foreign.gov.mv/images/COVID-19/HPA/2020-8%20(ENGLISH).pdf"
1414,state of emergency,,2020-12-03,Minister of health declared a public health emergency.,,Maldives,"Director General of Public Health (Government, https://www.foreign.gov.mv/images/COVID-19/HPA/Temporary%20Supension%20of%20Tourist%20Check-ins%2011%202020.jfif"
1415,limited nonessential business closure,,2020-03-17,All guest houses and city hotels are required to suspend all tourist check ins. Tourists already checked in are allowed to remain for the duration of theur booking. ,,Maldives,"Director General of Public Health (Government, https://www.foreign.gov.mv/images/COVID-19/HPA/Temporary%20Supension%20of%20Tourist%20Check-ins%2011%202020.jfif"
1417,hospital specialisation - partial,,2020-03-22,Rooms from luxury tourist hotels to be used as quarantine facilities,,Maldives,"Avas (Media, https://avas.mv/en/80102"
1419,limited nonessential business closure,,2020-03-13,All use of public grounds and parks in the Great Male region are banned until further notice.,Great Male Region,Maldives,"Director General of Public Health (Government, https://www.foreign.gov.mv/images/COVID-19/HPA/2020-06.pdf"
1420,international traveller screening - risk countries,,2020-11-03,all travelers (arriving either by land or air) have to undergo temperature measurments,,Mali,"Ministry of Health (Government, http://www.sante.gov.ml/index.php/actualites/communiques"
1423,risk communication,,2020-11-03,General hygiene and social distancing recommendation,,Mali,"MoH  (Government, http://www.sante.gov.ml/index.php/actualites/communiques/item/3449-communique-du-gouvernement-du-mali-sur-la-prevention-et-la-riposte-a-l-epidemie-de-coronavirus"
1432,international traveller screening - risk countries,,2020-02-23,Thermal screenings on airports and maritime ports,,Malta,"Deputy Prime Minister (Government, https://deputyprimeminister.gov.mt/en/health-promotion/Pages/Novel-coronavirus.aspx"
1436,risk communication,,2020-01-19,Advice for travelers to Wuhan region to take precautionary measures,,Malta,"Ministry of Health (Government, https://www.gov.mt/en/Government/DOI/Press%20Releases/Pages/2020/January/19/pr200063.aspx"
1438,limited nonessential business closure,,2020-03-23,Closure of all shops whereby their principal business relates to the selling of certain products (specified),,Malta,"Government (Government, https://www.gov.mt/en/Government/DOI/Press%20Releases/Pages/2020/March/22/pr200539en.aspx"
1440,economic stimulus,,2020-03-19,  starting from this afternoon. It is therefore prudent to plan for an extra hour for exit testing - Minister ,,Malta,"Government (Government, https://covid19malta.info/"
1443,international travel ban - risk countries,,2020-01-31,"all persons travelling via air or sea from the People’s Republic of China, Macau, or Hong Kong, South Korea, Italy, Japan, and Iran.  Travelers that have visited or transited these countries after December 31, 2019 will be denied entry into the RMI. ",,Marshall Islands,"US Embassy (Government, https://mh.usembassy.gov/news-events/"
1444,hospital specialisation - partial,,2020-02-15,"The RMI government announced on February 15, 2020 the construction of a new eight-bed isolation unit to be built and ready within the next 30 days",,Marshall Islands,"Facebook (Media, https://islandsbusiness.com/breaking-news/item/2723-coronavirus-travel-restrictions-a-pacific-wrap.html"
1445,international travel ban - risk countries,,2020-02-03,All inbound travel banned altogether until mid-April at the least.,,Marshall Islands,"RNZ (Media, https://www.rnz.co.nz/international/pacific-news/412217/coronavirus-how-the-pacific-is-responding"
1447,international travel ban - risk countries,,2020-08-03,"On Sunday, March 8, authorities announced that foreigners would be prohibited entry until at least Sunday, March 22, to limit the spread of the coronavirus (COVID-19). Additionally, all air and sea travel from mainland China, Hong Kong, Macau, South Korea, Italy, Japan, Germany, France, and Spain has been suspended.",,Marshall Islands,"GardaWorld (Other organisations, https://www.garda.com/crisis24/news-alerts/320726/marshall-islands-borders-closed-to-foreigners-amid-covid-19-outbreak-as-of-march-8-update-1"
1449,international travel ban - risk countries,,2020-03-17,partial border closure that applies to specific border crossings,,Mauritania,"Lakoom (Media, https://lakoom-info.com/mauritanie-un-plan-drastique-contre-le-corona-virus/"
1451,international traveller screening - risk countries,,2020-05-02,remaining open border crossings have health screenings,,Mauritania,"Ministry of Health (Government, http://www.sante.gov.mr/?p=3540"
1454,coronavirus education activities,,2020-01-29,awareness campaigns in hospitals and for public,,Mauritania,"Ministry of Health (Government, http://www.sante.gov.mr/?p=3517"
1459,limited nonessential business closure,,2020-03-19,All restaurants and cafes closed.,,Mauritania,"US Embassy (Government, https://mr.usembassy.gov/covid-19-information/"
1462,international travel ban - risk countries,,2020-03-22,"The Mauritanian government closed all land and sea borders, and air space, with commercial merchandise and other goods still allowed to cross the borders.",,Mauritania,"US Embassy (Government, https://mr.usembassy.gov/covid-19-information/"
1463,international travel ban - risk countries,,2020-03-18,"Travellers from EU, Switzerland and UK in the last 14 days cannot enter.",,Mauritius,"Ministry of Foreign Affairs - France (Government, https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/maurice/"
1464,international travel ban - risk countries,,2020-03-16,Travellers from la Réunion in the last 14 days cannot enter the country.,,Mauritius,"Ministry of Foreign Affairs - France (Government, https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/maurice/"
1465,risk communication,,2020-03-23,"Between March 23 and April 19, the Mexican government has declared a social-distancing campaign to take preventive measure, avoid non-essential travels and take care of the elderly and vulnerables. ",,Mexico,"US Embassy (Government, https://mx.usembassy.gov/covid-19-information/"
1468,state of emergency,,2020-05-02,,,Micronesia,"Ministry of Foreign Affairs - Italy (Government, http://www.viaggiaresicuri.it/country/FSM"
1470,international travel ban - risk countries,,2020-03-22,"Governor's new order bans arrival of all travellers, with the exception of airline flight crew, humanitarian support aircraft or vessels, and all cargo vessels and tankers - with those exempted required to remain in the airport or seaport with no contact with local workers or authorities.",,Micronesia,"RNZ (Media, https://www.rnz.co.nz/international/pacific-news/412334/micronesia-s-pohnpei-ramps-up-ban-on-entry"
1474,"domestic travel limitation, domestic traveller quarantine, domestic travel ban",,2020-11-03,Flights and trains to 28.03,,Mongolia,"Ministry of Foreign Affairs - France (Government, https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/mongolie/"
1476,international travel ban - risk countries,,2020-11-03,No more visa issued from Mongolian embassies all over the world.,,Mongolia,"Ministry of Foreign Affairs - France (Government, https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/mongolie/"
1477,international travel ban - risk countries,,2020-03-16,To get in and out. Some charter flights are being organized.,,Mongolia,"Ministry of Foreign Affairs - UK (Government, https://www.gov.uk/foreign-travel-advice/mongolia"
1481,international travel ban - risk countries,,2020-03-16,Forbidding entry to all foreigners except those with permanent or temporary residence permit in Montenegro and foreigners driving freight vehicles,,Montenegro,"Ministry of Foreign Affairs - UK (Government, https://www.gov.uk/foreign-travel-advice/montenegro"
1484,limited nonessential business closure,,2020-03-18,All non-essentials and public transportation. essential places - no more tahn 50 ppl with 2m distance. No more than 10+ ppl gatherings. no more than 2 persons in vehicles.,,Montenegro,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS"
